latitude,longitude,duration
51.47993289,-0.19411695,900
51.50946212,-0.124749274,660
51.518908,-0.079249,1140
51.50144456,-0.110699309,360
51.499917,-0.174554,720
51.46718562,-0.152248582,1200
51.51449962,-0.141423695,1320
51.50860544,-0.193764092,480
51.533283,-0.028155,780
51.532091,-0.06142,1500
51.49907558,-0.085666316,1440
51.520331,-0.163667,720
51.5403115,-0.021630359,1380
51.534474,-0.122203,1200
51.501513,-0.12382322,600
51.49812559,-0.132102166,2340
51.5017154373867,-0.1798541843891,4980
51.50311799,-0.153520935,540
51.5156,-0.070056,300
51.51397065,-0.09294031,420
51.511246,-0.093051,900
51.51681444,-0.151926305,600
51.47084722,-0.17070367,120
51.51707521,-0.086685542,1080
51.533379,-0.139159,420
51.53692216,-0.150181444,780
51.519968,-0.169774,960
51.511891,-0.107349,960
51.51530805,-0.147203711,840
51.5208417,-0.097340162,780
51.51787005,-0.201005397,240
51.51175646,-0.119643424,1020
51.49313,-0.156876,540
51.50143293,-0.178656971,300
51.5171,-0.18377,840
51.48438657,-0.20481514,1380
51.51196176,-0.097441687,540
51.506946,-0.058681,1200
51.51155322,-0.0929401,480
51.47729232,-0.16478637,960
51.52671796,-0.104298194,1860
51.53546778,-0.11619105,840
51.505772,-0.016460175,480
51.494412,-0.173881,480
51.50315739,-0.191496313,1020
51.472817,-0.199783,360
51.51251523,-0.133201961,1080
51.477839,-0.116493,2040
51.47696496,-0.174347066,360
51.45475251,-0.195197203,840
51.49368637,-0.111014912,240
51.508447,-0.055167,2220
51.4916156,-0.186753859,1020
51.496957,-0.173894,1440
51.494412,-0.173881,1320
51.51477076,-0.12221963,360
51.51410514,-0.147301667,960
51.549369,-0.015717614,1140
51.539099,-0.141728,120
51.52486887,-0.099489485,2040
51.51196803,-0.120718759,720
51.529678,-0.16791399,540
51.51362054,-0.116764211,2520
51.49096258,-0.139625122,6360
51.50654321,-0.123179697,1260
51.50462759,-0.091773776,300
51.5118973,-0.137043852,1860
51.52367314,-0.128377673,480
51.5154186,-0.098850915,1080
51.52058381,-0.154701411,600
51.535179,-0.03338,2040
51.50311799,-0.153520935,3660
51.49234577,-0.141334487,360
51.53440868,-0.109025404,1500
51.53256,-0.16862,1080
51.524564,-0.116279,1080
51.47761941,-0.149551631,780
51.517428,-0.107987,360
51.487129,-0.009001,1560
51.530344,-0.100168,1140
51.513074,-0.064094,780
51.53213,-0.08299,960
51.509303,-0.025996,4200
51.47727637,-0.189210466,600
51.50777049,-0.130699733,780
51.491026,-0.209121,660
51.50379168,-0.11282408,1020
51.52994371,-0.123616824,420
51.52522753,-0.13518856,780
51.531066,-0.11934,540
51.4863434,-0.122492418,240
51.50777049,-0.130699733,720
51.4863434,-0.122492418,1680
51.511088,-0.057159,1500
51.50070305,-0.129698963,720
51.495656,-0.114605,1620
51.492462,-0.159919,120
51.52994371,-0.123616824,0
51.53089041,-0.089782579,240
51.50935342,-0.196422,2760
51.52659961,-0.112432615,960
51.50486,-0.113001,1860
51.49785559,-0.081608045,480
51.49580589,-0.127575233,420
51.51251523,-0.133201961,960
51.50990837,-0.187842717,1740
51.49211134,-0.138364847,600
51.513757,-0.020467,1380
