latitude,longitude,duration
51.491327,-0.096518684,1500
51.50581776,-0.100186337,480
51.520994,-0.139016,600
51.5263778,-0.078130921,1680
51.51772703,-0.127854211,360
51.50860544,-0.193764092,660
51.50204238,-0.184400221,1260
51.49705603,-0.168917077,420
51.49369988,-0.121394101,600
51.5338,-0.118677,120
51.50136494,-0.191462381,1740
51.504044,-0.104778,420
51.50810309,-0.12602103,540
51.52452699,-0.079248081,600
51.48256792,-0.172078187,1380
51.50215353,-0.083632928,1260
51.52572618,-0.088486188,300
51.50462759,-0.091773776,420
51.511542,-0.056667,780
51.529423,-0.097122,960
51.53404294,-0.086379717,480
51.511088,-0.057159,120
51.51746,-0.12335,900
51.490083,-0.162418,240
51.517475,-0.075855,600
51.50403821,-0.217400093,1440
51.47303687,-0.214749808,18600
51.52994371,-0.123616824,480
51.53583617,-0.156285395,1560
51.47514228,-0.187278987,780
51.5263778,-0.078130921,1020
51.53266186,-0.099981142,840
51.5165179,-0.164393768,1080
51.50964,-0.08497,1080
51.49066456,-0.166485083,1560
51.48814438,-0.222456468,720
51.474665,-0.18316517,1200
51.49096258,-0.139625122,1140
51.51196803,-0.120718759,720
51.50556905,-0.111606696,840
51.49208492,-0.229116862,600
51.490959,-0.1532331,840
51.53300545,-0.136792671,300
51.51580998,-0.105270275,1320
51.52261762,-0.071653961,840
51.5034938,-0.07962099,1020
51.51733558,-0.175810943,1260
51.51510818,-0.208565479,1740
51.506256,-0.218337,300
51.497304,-0.022793,360
51.527607,-0.057133,540
51.5154186,-0.098850915,840
51.473611,-0.191803,180
51.53404294,-0.086379717,480
51.51073687,-0.144165239,1080
51.51563144,-0.132328837,540
51.505014,-0.17306032,840
51.505697,-0.070542,240
51.51073687,-0.144165239,15240
51.52128377,-0.084605692,1320
51.50402794,-0.11386436,660
51.52600832,-0.096317627,360
51.482362,-0.13612398,1500
51.5118973,-0.137043852,1380
51.5128711,-0.0389866,480
51.51615461,-0.082422399,1560
51.4931848,-0.167894973,600
51.50039792,-0.193068385,360
51.52559505,-0.144083893,1440
51.517475,-0.075855,1500
51.51461995,-0.137841333,1560
51.51611887,-0.128585022,1140
51.524564,-0.116279,420
51.49288067,-0.114934001,720
51.52572618,-0.088486188,1320
51.50144456,-0.110699309,480
51.49021762,-0.215087092,480
51.50946212,-0.124749274,1860
51.5129118,-0.153645496,420
51.52526975,-0.163795009,1620
51.51793,-0.067937,720
51.47993289,-0.19411695,1260
51.51615461,-0.082422399,540
51.52458353,-0.058631453,840
51.51505991,-0.10534448,780
51.5067252868,-0.0988072461627,300
51.47250956,-0.122831913,1680
51.50069361,-0.102091246,240
51.51108452,-0.197524944,2820
51.51908011,-0.124678402,4020
51.52285301,-0.099994052,420
51.53385,-0.06992,300
51.493072,-0.129925,1020
51.507131,-0.06691,540
51.50535447,-0.113656543,360
51.53546778,-0.11619105,540
51.50462759,-0.091773776,1680
51.53007835,-0.13884627,480
51.521889,-0.04667,120
51.518908,-0.079249,480
51.49506109,-0.085814489,1080
51.527058,-0.025296,2400
51.51348,-0.17977,1380
51.530344,-0.100168,1500
51.50185512,-0.159237081,1740
51.53692216,-0.150181444,840
51.494412,-0.173881,240
51.5017154373867,-0.1798541843891,1560
51.487679,-0.021582,900
51.5067252868,-0.0988072461627,1200
51.51505991,-0.10534448,720
51.482362,-0.13612398,840
51.49616092,-0.140947636,1140
51.49506109,-0.085814489,480
51.50462759,-0.091773776,420
51.528692,-0.059091,1080
51.49357351,-0.139956043,2880
51.53356,-0.09315,960
51.49671237,-0.20528437,1140
51.52486887,-0.099489485,780
51.536264,-0.133952,1080
51.47569809,-0.20587627,720
51.49188409,-0.125674815,240
51.4710956,-0.157850096,840
51.518908,-0.079249,420
51.509943,-0.117619,600
51.511542,-0.056667,2040
51.518908,-0.079249,300
51.51563144,-0.132328837,1920
51.5208417,-0.097340162,240
51.53007835,-0.13884627,1680
51.490083,-0.162418,1320
51.52334672,-0.120202614,420
51.49654462,-0.150905245,15300
51.47993289,-0.19411695,480
51.511542,-0.056667,780
51.50039792,-0.193068385,1080
51.51155322,-0.0929401,540
51.49363156,-0.190603326,1740
51.466907,-0.216573,480
51.5129118,-0.153645496,1020
51.50402794,-0.11386436,780
51.5190427,-0.204764421,900
51.46925984,-0.141812513,1440
51.49357351,-0.139956043,420
51.511246,-0.093051,540
51.521564,-0.039264,780
51.48256792,-0.172078187,1680
51.48498496,-0.167919869,1500
51.50357,-0.020068,540
51.49372451,-0.198286569,1380
51.52127071,-0.0755789,540
51.474376,-0.155442787,600
51.4710956,-0.157850096,480
51.51612862,-0.120909408,180
51.51382102,-0.107927706,840
